dist_code,month,documents_registered_cnt,documents_registered_rev,estamps_challans_cnt,estamps_challans_rev,Mmm,quarter,fiscal_year,district
22_2,2019-06-01,705,13006275,0,0,Jun,Q1,2019,Bhadradri Kothagudem
15_2,2019-06-01,11808,942570587,0,0,Jun,Q1,2019,Medchal_Malkajgiri
19_1,2019-06-01,824,11443194,0,0,Jun,Q1,2019,Adilabad
17_1,2019-06-01,2613,45801812,0,0,Jun,Q1,2019,Medak
21_3,2019-06-01,2766,34975070,0,0,Jun,Q1,2019,Jangoan
18_1,2019-06-01,5258,66957257,0,0,Jun,Q1,2019,Nizamabad
23_1,2019-06-01,7146,104282218,0,0,Jun,Q1,2019,Nalgonda
20_3,2019-06-01,2388,27212704,0,0,Jun,Q1,2019,Rajanna Sircilla
18_2,2019-06-01,3595,34889349,0,0,Jun,Q1,2019,Kamareddy
20_2,2019-06-01,2672,32368172,0,0,Jun,Q1,2019,Jagtial
21_6,2019-06-01,721,6553495,0,0,Jun,Q1,2019,Mulugu
15_3,2019-06-01,2072,29390216,0,0,Jun,Q1,2019,Vikarabad
14_2,2019-06-01,1753,24300464,0,0,Jun,Q1,2019,Jogulamba Gadwal
21_3,2019-07-01,3210,38094533,0,0,Jul,Q2,2019,Jangoan
15_3,2019-07-01,2635,31158113,0,0,Jul,Q2,2019,Vikarabad
21_6,2019-07-01,1022,9855642,0,0,Jul,Q2,2019,Mulugu
23_2,2019-07-01,4709,70377544,0,0,Jul,Q2,2019,Suryapet
15_1,2019-07-01,29063,1762830038,0,0,Jul,Q2,2019,Rangareddy
23_1,2019-07-01,8928,115173858,0,0,Jul,Q2,2019,Nalgonda
18_1,2019-07-01,5749,74149259,0,0,Jul,Q2,2019,Nizamabad
19_1,2019-07-01,1186,17853370,0,0,Jul,Q2,2019,Adilabad
14_1,2019-07-01,5056,58994710,0,0,Jul,Q2,2019,Mahabubnagar
17_3,2019-07-01,5575,47714647,0,0,Jul,Q2,2019,Siddipet
18_2,2019-07-01,3835,32920357,0,0,Jul,Q2,2019,Kamareddy
23_3,2019-07-01,9448,134999011,0,0,Jul,Q2,2019,Yadadri Bhuvanagiri
21_1,2019-07-01,5892,152570326,0,0,Jul,Q2,2019,Hanumakonda
19_2,2019-07-01,2127,22890600,0,0,Jul,Q2,2019,Nirmal
14_4,2019-07-01,3460,22968808,0,0,Jul,Q2,2019,Wanaparthy
14_3,2019-07-01,4185,28345301,0,0,Jul,Q2,2019,Nagarkurnool
20_4,2019-07-01,2236,34112815,0,0,Jul,Q2,2019,Peddapalli
19_3,2019-07-01,2434,33016334,0,0,Jul,Q2,2019,Mancherial
14_5,2019-07-01,2187,16498551,0,0,Jul,Q2,2019,Narayanpet
16_1,2019-07-01,5573,658623385,0,0,Jul,Q2,2019,Hyderabad
19_4,2019-07-01,504,5472687,0,0,Jul,Q2,2019,Kumurambheem Asifabad
20_3,2019-07-01,2413,25639647,0,0,Jul,Q2,2019,Rajanna Sircilla
21_5,2019-07-01,1858,19590782,0,0,Jul,Q2,2019,Mahabubabad
21_2,2019-07-01,1451,17966223,0,0,Jul,Q2,2019,Warangal
20_2,2019-07-01,3106,35101355,0,0,Jul,Q2,2019,Jagtial
14_2,2019-07-01,3068,22574155,0,0,Jul,Q2,2019,Jogulamba Gadwal
20_1,2019-07-01,3675,69644228,0,0,Jul,Q2,2019,Karimnagar
17_1,2019-07-01,2909,38470965,0,0,Jul,Q2,2019,Medak
17_2,2019-07-01,10308,406370671,0,0,Jul,Q2,2019,Sangareddy
15_2,2019-07-01,14497,1017656366,0,0,Jul,Q2,2019,Medchal_Malkajgiri
22_2,2019-07-01,708,13359678,0,0,Jul,Q2,2019,Bhadradri Kothagudem
22_1,2019-07-01,5472,98933054,0,0,Jul,Q2,2019,Khammam
14_1,2019-08-01,4864,73289753,0,0,Aug,Q2,2019,Mahabubnagar
19_4,2019-08-01,387,5255110,0,0,Aug,Q2,2019,Kumurambheem Asifabad
